Bid_Number,Contract_Number,test column,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Total_Transactions
S1WZ6590,110279,,Uninterrupted Power Supply Service & Repair,20110501,20150430,SSE,CHARLES W ROMANO CO,SS&E,191800,36,
S1Z57280,110284,,Engine Driven Pump Rental Sch 2016,20110501,20150430,SSE,FLEETWOOD INDUSTRIAL PRODUCTS,SS&E,169551.88,36,"$7,078.68"
S1Z5726S,110288,,Snap-On Tools,20110501,20150430,SSE,I D S C HOLDINGS LLC,SS&E,675000,36,"$10,634.69"
S1XZ188S,110290,,Maintenance Service for Supervisory Control and Data Acquisition (SCADA) System and Related Equipment,20110501,20150430,SSE,H S Q TECHNOLOGY,SS&E,357508,36,"$7,698.00"
T1Z57220,110306,,Propane Gas,20110501,20150430,SSE,PRAXAIR DISTRIBUTION MID ATLANTIC LLC,SS&E,1199903.21,36,"$48,958.46"
S1YN282S,110309,,Repair of Hurst Power Tools and Equipment,20110501,20150430,SSE,MUNICIPAL EMERGENCY SERVICES INC,SS&E,182080,36,"$3,642.00"
S1XW9220,110312,,Resin Cartridge Exchanges and Filters,20110501,20150430,SSE,RES KEM LLC,SS&E,90001,36,"$2,677.73"
S1VZ3530,110319,,Overhead Door and Gate Supplies,20110501,20150430,SSE,ABSTRACT OVERHEAD DOOR CO INC,SS&E,100000,36,
S1Z57250,110342,,Employee Service Pins and Badges  Sch 174,20110501,20150430,SSE,MTM RECOGNITION,SS&E,220590.5,36,"$10,734.06"
S1QM2280,110229,,Identification Wrist Bands & Accessories,20110201,20150430,SSE,IRIS LTD INC,SS&E,305962.5,36,"$1,300.00"
S1QM2230,110109,,Service Contract for Outboard Engines in Marine Unit,20101101,20150430,SSE,NEWPORT MARINE INC,SS&E,280001,36,"$1,297.84"
US110179,110135,,PLAYCORE WISCONSINBid # US110179,20100917,20150508,SSE,PLAYCORE WISCONSIN,SS&E,2488000,,"$42,530.00"
S3YL4670,130262,,Runway Silica Sand,20130601,20150531,SSE,WHIBCO OF NEW JERSEY INC,SS&E,204257,36,
S3XN6760,130354,,Barber Clipper Sharpening & Hair Dryer Repair Svcs,20130601,20150531,SSE,M SCHNEIDER & SONS INC,SS&E,52001,36,"$2,328.75"
S3Z59520,130391,,Curb and Valve Box Cleaner and Parts,20130601,20150531,SSE,FERGUSON ENTERPRISES INC,SS&E,115623,33,"$3,000.00"
S3Z59680,130394,,Elevator/Escalator Maintenance and Repair Services for the Department of Public Property (Various Locations),20130601,20150531,SSE,OTIS ELEVATOR CO,SS&E,1357277,25,"$157,325.50"
S3Z59740,130402,,Invasive Plant Control,20130601,20150531,SSE,WEEDS INC,SS&E,243960,36,"$5,375.86"
S3YE7470,130403,,Treatment of Foundation Walls Purging & Waterproofing,20130601,20150531,SSE,NICHOLAS DELLA VECCHIA INC,SS&E,194116,36,
S3Z58400,130407,,Custodial Services for Various City Agencies,20130601,20150531,SSE,TEAM CLEAN INC,SS&E,1551241.92,30,"$47,788.89"
S3Z58410,130411,,Custodial Services for City Hall and other City-Owned Real Estate,20130601,20150531,SSE,TEAM CLEAN INC,SS&E,5200444.46,30,"$199,831.30"
S3Z5860S,130413,,Underground Storage of Microfilm - Sch 444,20130601,20150531,SSE,IRON MOUNTAIN INFORMATION MANAGEMENT LLC,SS&E,268981.8,36,
S3Z59490,130417,,Fax Machine Supplies,20130601,20150531,SSE,P C SPECIALISTS INC,SS&E,30000.01,33,"$11,322.00"
S3Z59450,130420,,General Automotive Repair Services,20130601,20150531,SSE,DELAWARE VALLEY TRUCK SERVICE,SS&E,107572.84,33,"$2,097.97"
S3YQ0590,130423,,Purchase of Various Sport Utility Vehicles,20130601,20150531,SSE,CHAPMAN CHEVROLET LLC,SS&E,5537000,36,
00009635,120356,,TRANSAMERICAN OFFICE FURNITURE INCBid # 00009635,20120618,20150531,SSE,TRANSAMERICAN OFFICE FURNITURE INC,SS&E,2928000,,"$231,447.49"
T2Z57580,120324,,Electronic Waste Recycling and Data Sanitization Services Sch 70-02,20120601,20150531,SSE,MATERIALS PROCESSING CORPORATION,SS&E,200000,24,
S2YD4830,120336,,Annual Preventive Maint & Repair Services for Nederman Direct Source Capture Exhaust Systems City of Phila Fire Stations,20120601,20150531,SSE,SYCAMORE MECHANICAL CONTRACTORS LLC,SS&E,950187.5,36,"$86,157.08"
S2Z58800,120342,,"RENTAL SCHOOL BUS TYPE, 15 PASSENGER VAND AND MINIBUS TRANSPORTATION, SCH. 345",20120601,20150531,SSE,FIRST STUDENT INC,SS&E,792776.8,36,"$41,186.52"
S2YQ6480,120343,,AIR CONDITIONING MAINTENANCE AND REPAIRS,20120601,20150531,SSE,DEVINE BROTHERS INC,SS&E,975001,36,"$25,891.50"
S2TW2590,120345,,FULL AND PREVENTIVE MAINTENANCE FOR HVAC AND PLUMBING,20120601,20150531,SSE,DEVINE BROTHERS INC,SS&E,180001,36,"$1,000.00"
031210NJ,120152,,STAPLES CONTRACT & COMMERCIAL INCBid # 031210NJ,20110701,20150531,SSE,STAPLES CONTRACT & COMMERCIAL INC,SS&E,5940000,24,"$376,125.44"
S1QM2310,110305,,Gunsmithing Tools & Care & Cleaning Supplies,20110601,20150531,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,75780,36,"$2,660.51"
S1Z5737M,110318,,Ballistic Vests (New Generation),20110601,20150531,SSE,ATLANTIC TACTICAL INC,SS&E,4200421.6,36,"$52,526.40"
S1XT6800,110328,,"Van, Compact, Electric Drive",20110601,20150531,SSE,PACIFICO FORD INC,SS&E,94347.48,36,
S1YL6750,110332,,Sweep Officers Uniforms & Accessories,20110601,20150531,SSE,AMERICAN UNIFORM SALES INC,SS&E,253017.75,36,"$10,800.20"
S1YN1770,110171,,Repairs to Overhead Exhaust Ventilation Systems,20110301,20150531,SSE,CHARLES W ROMANO CO,SS&E,200220,36,"$20,485.59"
S1Z57070,110272,,Janitorial Supplies,20110301,20150531,SSE,SOUTH JERSEY PAPER PRODUCTS,SS&E,788000.11,36,"$130,605.93"
S0XZ1300,100328,,Juniper Switches,20100601,20150531,SSE,P C SPECIALISTS INC,SS&E,13000000,36,"$1,048,344.00"
000358-3,130180,,S H I INTERNATIONAL CORPBid # 000358-3,20130101,20150602,SSE,S H I INTERNATIONAL CORP,SS&E,2638769,36,"$193,237.48"
000358-1,130181,,EN POINTE TECHNOLOGIESBid # 000358-1,20130101,20150602,SSE,EN POINTE TECHNOLOGIES,SS&E,1000000,36,"$50,459.03"
000358-2,130089,,INSIGHT PUBLIC SECTOR INCBid # 000358-2,20120920,20150602,SSE,INSIGHT PUBLIC SECTOR INC,SS&E,1500000,36,"$433,277.92"
S2Z58790,120337,,"SUMMER LUNCH AND AFTER SCHOOL SNACK AND SUPPER PROGRAMS, SCH. 579",20120618,20150607,SSE,MARAMONT CORP,SS&E,16578190,36,"$3,229,158.02"
S2YN1990,120349,,REPAIR OF OVERHEAD LUBE SYSTEMS,20120611,20150610,SSE,REGENT HYDRAULIC & MACHINE WORKS,SS&E,400100,36,"$10,522.20"
S4Z59870,140001,,Valve Acuator Parts,20130701,20150630,SSE,FERGUSON ENTERPRISES INC,SS&E,464000,36,
T3Z58950,140004,,"RECAPPING/REPAIR TIRE SERVICE, EMERGENCY ROAD/OFF THE ROAD (OTR) SERVICE AND OUTRIGHT PURCHASE OF CAP AND CASINGS",20130701,20150630,SSE,HENISE TIRE SERVICE INC,SS&E,740737.49,33,"$27,513.40"
S4Z59670,140005,,RFG Gasoline and Bio Diesel Fuel (5%),20130701,20150630,SSE,MANSFIELD OIL COMPANY OF GAINSVILLE INC,SS&E,47321716.74,36,"$2,807,449.78"
S4Z59810,140016,,Rock Salt,20130701,20150630,SSE,DART SEASONAL PRODUCTS INC,SS&E,375000,12,
S4YL4710,140019,,The FIXX - High Solids Floor Finish and Sealer (Spartan),20130701,20150630,SSE,INTERLINE BRANDS INC,SS&E,40307.5,36,
S4YL6850,140024,,Purchase of Big Belly Solar Compactors,20130701,20150630,SSE,BIG BELLY SOLAR INC,SS&E,490000,33,
S4Z5982S,140027,,Rental of Pitney Bowes Mailing Equipment,20130701,20150630,SSE,PITNEY BOWES INC,SS&E,265301.2,36,"$6,567.00"
S4Z59850,140034,,"Chain Link Fence- Repairs Only, Sch 472-01",20130701,20150630,SSE,BUSTLETON SERVICES INC,SS&E,525524,36,"$8,475.96"
S4YL4600,140035,,"Georgia Pacific: Toilet Paper, Paper Towel and Dispenser",20130701,20150630,SSE,503 CORP,SS&E,272430.12,36,"$19,580.80"
S4Z60140,140036,,Maintenance of Canon Plain Copier Machines and Supplies,20130701,20150630,SSE,CANON SOLUTIONS AMERICA INC,SS&E,487692,36,"$23,703.63"
S4YL473S,140037,,Safe Port Vessel Traffic Information System (VTIS),20130701,20150630,SSE,OBSERVATION TECHNOLOGIES INC,SS&E,85000,36,"$16,000.00"
S4XW931S,140062,,IDEXX Laboratory Supplies,20130701,20150630,SSE,IDEXX DISTRIBUTION INC,SS&E,174628,36,
T4Z59780,140078,,Fire Vehicle Apparatus Replacement Parts,20130701,20150630,SSE,BAY HEAD INVESTMENTS INC,SS&E,30000.01,36,
S3YB6150,140082,,"Automated Glycohemoglobin Analyzer, Supplies/Controls",20130701,20150630,SSE,BIO RAD LABORATORIES INC,SS&E,250000,36,
S4WJ796S,140085,,Maintenance and Repair of Checkpoint Security Systems,20130701,20150630,SSE,3M COMPANY,SS&E,61675,36,
S4Z5983S,140183,,"Maintenance, Repair and Inspection of Physio-Control Devices",20130701,20150630,SSE,PHYSIO CONTROL INC,SS&E,1743374.17,36,
S4Z59780,A40009,,W CAMPBELL SUPPLY CO OF PENNA LLCBid # S4Z59780,20130701,20150630,SSE,W CAMPBELL SUPPLY CO OF PENNA LLC,SS&E,30000.01,36,
S4Z59760,C40051,,Medium and Heavy Duty Truck Replacement Parts,20130701,20150630,SSE,INTERCON TRUCK EQUIPMENT CO,SS&E,30000.01,36,
T3QM2380,130108,,"Bicycle Maintenance, Repair and Parts",20121101,20150630,SSE,BUSTLETON BIKES INC,SS&E,494622,36,"$29,856.41"
S3Z58280,130093,,"ELECTRICAL EMERGENCY GENERATORS MAINTENANCE AND REPAIR SERVICE, SCH. 927-02",20121001,20150630,SSE,FM GENERATOR INC,SS&E,294800,33,"$20,214.57"
S2YN1940,130090,,Launder/Repair Uniforms for Office of Fleet Mgt,20120726,20150630,SSE,CLEAN RENTAL SERVICES INC,SS&E,300198,36,"$7,610.00"
S2Z58250,120332,,"RENTAL COACH TYPE TRANSPORTATION, SCH. 345-01",20120701,20150630,SSE,DAVID THOMAS TOURS INC,SS&E,421478,36,"$2,810.00"
S2YN1980,120347,,REPAIR OF HYDROBLAST PARTS CLEANING CABINETS,20120701,20150630,SSE,CHARLES W ROMANO CO,SS&E,50001,36,"$3,601.95"
S3Z58860,130001,,"Uniform Rental and Laundry Service, Sch. 75",20120701,20150630,SSE,UNIFIRST CORP,SS&E,135000,36,"$8,288.20"
S2Z58290,130032,,"REFURBISHING, RETROFITTING, INSTALLATION AND REPLACEMENT PARTS FOR SAFETY VEHICLES, SCH. 990",20120701,20150630,SSE,HAVIS INC,SS&E,1300327,36,"$57,931.80"
S2YN1960,130033,,COMPACTOR REPAIRS,20120701,20150630,SSE,T H C ENTERPRISES INC,SS&E,392250,33,"$79,058.96"
S3QM2390,130041,,PROMEGA PRODUCTS FOR DNA ANALYSIS,20120701,20150630,SSE,PROMEGA CORP,SS&E,774856.3,36,"$3,441.60"
S2XT6960,130045,,"6 x4 CAB OVER TRUCK, MOBILE CONCRETE MIXER",20120701,20150630,SSE,G L SAYRE INC,SS&E,600000,36,
S3Z58690,130046,,"COUNCILMANIC  PRINTING, SCH. 114",20120701,20150630,SSE,INSTANT COPY & PRINTING CENTER INC,SS&E,381847,36,
S3XR729S,130047,,CLEAN THRU EXTRACTION COLUMNS,20120701,20150630,SSE,UNITED CHEMICAL TECHNOLOGIES LLC,SS&E,80001,36,"$10,176.94"
S2Z57010,130050,,Facility Maintenance,20120701,20150630,SSE,ELLIOTT LEWIS CORP,SS&E,48300209,36,"$2,915,588.28"
T3QM6370,130051,,Rental of New and Used Vehicles,20120701,20150630,SSE,VEHICLE LEASING ASSOCIATES LLC,SS&E,1908650,36,"$129,090.00"
S3Z58670,130062,,"Purchase, Lease/Purchase,Lease and maint of Plain Paper Copier Machines and Purchase of Supplies for those machines",20120701,20150630,SSE,RICOH AMERICAS CORP,SS&E,1290000,24,"$213,115.02"
S3YB5530,130064,,LABORATORY TESTING SERVICES,20120701,20150630,SSE,QUEST DIAGNOSTICS CLINICAL LABORATORIES,SS&E,2985651.21,36,"$280,519.43"
S3YL4960,130072,,ACCESS CONTROL SYS PARTS & REPAIR - PHL,20120701,20150630,SSE,SECURITY & DATA TECHNOLOGIES INC,SS&E,347900,36,"$18,221.00"
S3XT6970,130074,,32 PASSENGER PRISONER BUS,20120701,20150630,SSE,WOLFINGTON BODY CO INC,SS&E,373165,36,
S3QG8349,130079,,PRINTING OF MAILING ENVELOPES,20120701,20150630,SSE,ALLIED ENVELOPE COMPANY INC,SS&E,1100973.25,36,"$67,786.00"
S3YQ0530,130080,,Used (Refurbished) Office / Storage ISO Containers,20120701,20150630,SSE,SEA BOX INC,SS&E,881965,36,"$62,669.00"
S3Z58810,130082,,RECYCLING BINS - SCH 504,20120701,20150630,SSE,ORBIS CORP,SS&E,899000,36,"$155,578.68"
S3Z58760,A30004,,TIME & PARKING CONTROLS LLCBid # S3Z58760,20120701,20150630,SSE,TIME & PARKING CONTROLS LLC,SS&E,150001,36,"$11,643.50"
S3YQ6640,A30044,,LINDENMEYR MUNROEBid # S3YQ6640,20120701,20150630,SSE,LINDENMEYR MUNROE,SS&E,30001,36,
T1YB6260,B20229,,BECKMAN COULTER INCBid # T1YB6260,20120701,20150630,SSE,BECKMAN COULTER INC,SS&E,240001,36,"$2,090.00"
S2QG832S,B20005,,BELL & HOWELL LLCBid # S2QG832S,20111127,20150630,SSE,BELL & HOWELL LLC,SS&E,695346,36,"$149,949.00"
T2YN1900,120105,,Annual Testing Inspection of Fire Aerial Apparatus,20111001,20150630,SSE,DIVERSIFIED INSPCTNS/INDEPENDENT TSTNG L,SS&E,99284,36,"$1,950.00"
S2Z57440,120107,,Maintenance of Pitney Bowes Equipment;,20111001,20150630,SSE,PITNEY BOWES INC,SS&E,330971.25,33,"$17,607.79"
S2WJ7740,120130,,Monthly Maintenance of Branches Library HVAC System,20111001,20150630,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,1800530,36,
S2Z57490,120138,,Tree Pruning Sch 520-01,20111001,20150630,SSE,EDENS CORP,SS&E,576455,33,"$45,103.23"
S2OO2840,120157,,Pipe Fittings,20111001,20150630,SSE,FERGUSON ENTERPRISES INC,SS&E,1220000,33,"$76,221.00"
S2YN1880,A20109,,A & A SALES ASSOCIATES LLCBid # S2YN1880,20111001,20150630,SSE,A & A SALES ASSOCIATES LLC,SS&E,60001,33,"$11,163.84"
U1YQ8170,120087,,Monthly Maint/Repair and Supply of Parts for the City Radio Towers and Antenna Systems,20110726,20150630,SSE,PRECISION TOWER SERVICES INC,SS&E,242582,36,"$7,497.00"
S2VZ3520,120006,,"Installation, Test and Repair of Backflow Prevention Devices",20110701,20150630,SSE,DEVINE BROTHERS INC,SS&E,490945,36,"$53,962.90"
S2Z57450,120012,,Automatic Sprinkler System Test,20110701,20150630,SSE,WAYMAN FIRE PROTECTION INC,SS&E,290850,36,"$1,299.18"
S2XN8840,120019,,Printing of Laser Election Voter Admission Slips,20110701,20150630,SSE,VANGUARD DIRECT,SS&E,122500.01,36,
S2Z57470,120050,,Oracle Sun Micro System Equipment Hardware Maintenance and Software Support,20110701,20150630,SSE,TRIDENT COMPUTER RESOURCES INC,SS&E,460103.39,36,"$87,549.19"
S1YN1860,120065,,Repair & Safety Certification of Heavy Duty Trucks,20110701,20150630,SSE,DEL VAL INTERNATIONAL TRUCKS INC,SS&E,500206,36,"$20,776.96"
S2Z57520,120066,,Boiler Service and Inspection,20110701,20150630,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,1720226.84,36,"$57,792.54"
S2Z57510,120075,,"Purchase of Pharmaceutical Mgt, Supplies and Service Sch 998",20110701,20150630,SSE,SHELLYS MEDICATION SERVICES,SS&E,650000,36,"$1,277,287.41"
S2XL8100,120076,,Integrated Predictive Maintenance Service,20110701,20150630,SSE,D ELECTRIC INC,SS&E,200912,36,
S1Z57150,110226,,First Aid Kits and Refills  Sch 541,20110401,20150630,SSE,EVER READY FIRST AID & MEDICAL SUPPLY,SS&E,90001,36,"$3,610.97"
T1Z56750,110112,,Maintenance of Data Processing Equipment (Mainframe Channel Attached) - Storage Tek,20100901,20150630,SSE,TRIDENT COMPUTER RESOURCES INC,SS&E,555000,36,"$69,780.06"
S1YN1790,110207,,Maintenance/Repair of JBI Spray Paint Booths,20100401,20150630,SSE,CHARLES W ROMANO CO,SS&E,30001,36,"$1,495.36"
S0DA034S,110102,,Maintenance of Bentley Microstation Software,20100101,20150630,SSE,BENTLEY SYSTEMS INC,SS&E,856616.8,36,"$11,485.75"
S0XZ140S,100169,,Intranet Quorum (IQ) CRM Software,20090901,20150630,SSE,LOCKHEED MARTIN DESKTOP SOLUTIONS INC,SS&E,328292.08,07,"$8,485.81"
T8Z5338P,080370,,DESKTOP SUPPORT SERVICES,20080401,20150630,SSE,DELL MARKETING L P,SS&E,5390000,00,"$131,801.63"
S4XL8410,140033,,Emergency Repair Service: Scale Maintenance (PWD),20130801,20150731,SSE,ADVANCE SCALE COMPANY INC,SS&E,80001,36,
T3Z58420,140066,,Police Dept: Custodial Services,20130801,20150731,SSE,TEAM CLEAN INC,SS&E,2602111.81,28,
T3Z59730,140074,,Gas Monitor Repair Service and Parts,20130801,20150731,SSE,INSTRUMENTATION TECHNICAL SVCS INC,SS&E,163750,31,
T4YQ6760,140086,,Fruit Drink,20130801,20150731,SSE,EVENT CATERERS INC,SS&E,111600,36,
T3YL498S,140097,,Maintenance and Repairs for Besam Automated Entrance Equipment,20130801,20150731,SSE,ASSA ABLOY ENTRANCE SYSTEMS US INC,SS&E,220038,28,
T3YE7340,140099,,Stucco Finish for Masonry Walls,20130801,20150731,SSE,NICHOLAS DELLA VECCHIA INC,SS&E,312000,36,
S4HM8190,140103,,"Managing, Maintaining and Operating Sludge Barges and Transporting Sludge",20130801,20150731,SSE,HAYS TUG & LAUNCH SERVICE INC,SS&E,4545600,36,
S4WJ795S,140116,,Symphony Software Annual Support,20130801,20150731,SSE,SIRSI CORP,SS&E,572219.46,35,
S4Z59960,140118,,Fuel Oil,20130801,20150731,SSE,EAST RIVER ENERGY INC,SS&E,2050000,36,
T3VZ3860,130092,,Silicone Roofing Repairs,20120811,20150731,SSE,WEST ROOFING SYSTEMS INC,SS&E,30001,36,
U3Z58430,130063,,"BOND LINE PRINTING, SCH. 105",20120801,20150731,SSE,RIDGWAYS LLC,SS&E,87000,33,"$2,134.08"
T3XL8380,130077,,"WASTEWATER BY-PRODUCT DISPOSAL AND FUEL COMPONENT OF DISPOSAL,",20120801,20150731,SSE,WASTE MANAGEMENT OF PENNSYLVANIA INC,SS&E,2390850,36,"$65,642.57"
S3Z58260,130087,,Ceiling & Floor Tiles  Sch 800,20120801,20150731,SSE,CONTINENTAL FLOORING,SS&E,226766.52,32,"$15,717.20"
S2QM591S,A30094,,LIFE TECHNOLOGIES CORPBid # S2QM591S,20120801,20150731,SSE,LIFE TECHNOLOGIES CORP,SS&E,523931.36,36,"$48,166.10"
S2OO2820,120128,,"Meters, Parts and Supplies for : Badger, Rockwell, Kent & Hersey",20111001,20150731,SSE,SENSUS USA INC,SS&E,1000000,34,"$104,594.65"
S2Z57980,A20073,,PHILADELPHIA MIXING SOLUTIONS LTDBid # S2Z57980,20111001,20150731,SSE,PHILADELPHIA MIXING SOLUTIONS LTD,SS&E,938960,34,"$209,709.00"
S2Z57550,120067,,Leak and Spill Clean-Up Supplies,20110801,20150731,SSE,SAFEWARE INC,SS&E,325000,36,"$23,461.45"
S1YQ4570,120083,,Montel Storage System Parts,20110801,20150731,SSE,STORAGE SYSTEMS USA INC,SS&E,71001,36,"$10,700.00"
S1QM224S,110098,,CBM Image Archive System Software & Support Services,20100801,20150731,SSE,C B M ARCHIVES CO LLC,SS&E,300672.88,36,
S4Z59940,140002,,Maintenance Service for Hydronic and Steam Systems,20130901,20150831,SSE,CASCADE WATER SERVICES INC,SS&E,39801,36,
S4Z59890,140017,,AMS Lab Gases,20130901,20150831,SSE,PRAXAIR DISTRIBUTION MID ATLANTIC LLC,SS&E,40001,36,
S4YL6860,140021,,"Bag, Paper",20130901,20150831,SSE,DANO ENTERPRISES INC,SS&E,149200,24,
S4YN3240,140064,,Handheld LED Streamlight Equipment,20130901,20150831,SSE,WAREHOUSE BATTERY OUTLET INC,SS&E,36903.75,36,
S4YL4700,140100,,Disposal of International Quarantined Material,20130901,20150831,SSE,AVA GROUP INC,SS&E,390400,36,
T3YQ0800,140101,,Repair of Pro Spot Inverter Welders,20130901,20150831,SSE,WELDING SOLUTIONS INC,SS&E,30000.01,36,
S4Z59920,140104,,Snow Clearance & Removal,20130901,20150831,SSE,SERAVALLI INC,SS&E,135150,36,
00001839,140109,,SAFEWARE INCBid # 00001839,20130901,20150831,SSE,SAFEWARE INC,SS&E,500000,36,
S4YT4590,140112,,Janitorial Services - Licenses & Inspections (L&I),20130901,20150831,SSE,GOLDEN INC,SS&E,52001,36,
S4Z59910,140121,,Snow Removal Philadelphia International Airport,20130901,20150831,SSE,PREMIER CONCRETE INC,SS&E,3451360,36,
S4Z59930,140128,,Overhead Door and Gate Maintenance,20130901,20150831,SSE,SET RITE CORP,SS&E,970794,36,
T4Z59750,140129,,Anti-Freeze and Heat Transfer Fluid,20130901,20150831,SSE,CRAFT OIL CORPORATION,SS&E,314951.05,22,
S4YB030S,140136,,Interstate Wide Area Network (WAN) Connectivity Services,20130901,20150831,SSE,BROADVIEW NETWORKS,SS&E,218800,36,
S4YQ0850,140139,,Fleet: Gerber Omega System-Supplies,20130901,20150831,SSE,BREWERS INTERNATIONAL INC,SS&E,37000.01,34,
S4Z60150,140102,,Snow Chains and Accessories,20130801,20150831,SSE,VEHICLE MAINTENANCE PROGRAM,SS&E,30000.01,34,
S3Z58730,130066,,"STREET LIGHTING MAINTENANCE, SCH. 421",20120901,20150831,SSE,AMERICAN LIGHTING & SIGNALIZATION INC,SS&E,5540552,34,"$1,128,696.08"
S3Z58590,130070,,"MICROFICHE READER/PRINTER MAINTENANCE SERVICE AND SUPPLIES, SCH. 111",20120901,20150831,SSE,F W DUTTON INC,SS&E,120001,36,"$3,582.00"
T2Z58380,130078,,Security Guard Service (Armed and Unarmed) Sch 566,20120901,20150831,SSE,SCOTLANDYARD SECURITY SERVICES INC,SS&E,9912980.6,33,"$786,449.32"
U2Z5780,130085,,"Bags, Paper and Plastic Sch 544",20120901,20150831,SSE,ALL AMERICAN POLY,SS&E,1359432.52,36,"$123,597.78"
S3XS9590,130091,,Dauphin North America Component Chair Parts,20120901,20150831,SSE,DAUPHIN NORTH AMERICA,SS&E,280000,34,"$15,813.00"
A1Z5704L,130104,,Auto and Light Truck Wash and Detailing Services  Sch 84,20120901,20150831,SSE,ALL SEASONS CAR WASH & LUBE LLC,SS&E,50000.01,24,$894.00
S3OF1990,130114,,Natural Area Planting Services,20120901,20150831,SSE,ALL SEASONS LANDSCAPING CO INC,SS&E,506000,36,"$4,112.50"
S2Z57610,A20201,,A M D PENNSYLVANIA LLCBid # S2Z57610,20120101,20150831,SSE,A M D PENNSYLVANIA LLC,SS&E,610993.09,32,"$30,373.71"
S2Z57660,120155,,Repairs to Steam Cleaners and High Pressure Hot & Cold Washers,20111101,20150831,SSE,BROWNS EQUIPMENT & SUPPLY CO INC,SS&E,165001,34,"$12,228.76"
S2Z57650,120162,,Snow Melters (Portable Only) - Philadelphia International Airport,20111101,20150831,SSE,AERO SNOW REMOVAL CORP,SS&E,7000000,34,
T2QM5890,120175,,G.R.E.A.T (Gang Reistance Education and Training Aids,20111101,20150831,SSE,GEIGER BROS,SS&E,36001,34,
T1Z56980,120123,,Purchase & Install of Telephone Hrdwre & Network Equip for City Telecom System; Purchase of Voting System Network Equipment,20110907,20150831,SSE,CORE BTS,SS&E,189355.4,34,"$385,869.36"
S2Z5763S,120092,,Voting Machine Mechanics and Technician Service,20110901,20150831,SSE,ELECTEC INC,SS&E,1630001,36,
S2Z57680,120095,,Gases,20110901,20150831,SSE,MATHESON TRI GAS INC,SS&E,500411.47,36,"$25,309.94"
S2XT6830,120100,,"Trailer, Refuse, Rear Loading",20110901,20150831,SSE,SPECTOR MANUFACTURING INC,SS&E,310000,36,
S2YN1920,120108,,Repair/Replacement Services for American LaFrance Aerial Ladder Trucks and Pumpers,20110901,20150831,SSE,W CAMPBELL SUPPLY CO OF PENNA LLC,SS&E,217460,36,"$25,875.74"
S2XR724S,120121,,Enzyme Immunoassay Kits,20110901,20150831,SSE,NEOGEN CORP,SS&E,92001,36,"$5,667.84"
S2XL8160,120122,,Citect Software Support for PWD,20110901,20150831,SSE,SHINGLE & GIBB CO,SS&E,252000,36,
S2Z57710,120147,,Athletic Equipment/Supplies,20110901,20150831,SSE,SCHUYLKILL VALLEY SPORTS,SS&E,30001,36,"$9,626.03"
A1Z57040,A20113,,GIRARD CAR WASH & DETAIL CENTER INCBid # A1Z57040,20110901,20150831,SSE,GIRARD CAR WASH & DETAIL CENTER INC,SS&E,160001,36,"$18,075.63"
S2Z57620,B20094,,AMERICAN MESSAGING SERVICES LLCBid # S2Z57620,20110901,20150831,SSE,AMERICAN MESSAGING SERVICES LLC,SS&E,175001,36,
USC11017,120153,,KOMPAN INCBid # USC11017,20100917,20150916,SSE,KOMPAN INC,SS&E,800000,36,"$31,416.85"
S2VU1930,140150,,JANITORIAL SERVICES-FAIRMOUNT INTERPRETIVE CENTER .,20131001,20150930,SSE,T U C S CLEANING SERVICE INC,SS&E,93680.08,21,"$3,655.85"
S3OO3020,130096,,CORPORATION STOPS,20121001,20150930,SSE,FERGUSON ENTERPRISES INC,SS&E,1953065,33,"$104,211.00"
U3XR7260,130112,,Personal Protection Supplies for Autopsies,20121001,20150930,SSE,SALAM INTERNATIONAL INC,SS&E,207001,36,"$18,449.40"
T2XT6940,130117,,Marked/Unmarked Police Sedan,20121001,20150930,SSE,CHAS S WINNER INC,SS&E,4862940,36,
S3Z58700,130125,,Repairs to Structural Concrete Leaks,20121001,20150930,SSE,ANDERSON CONSTRUTION SERVICES INC,SS&E,63693,33,"$5,945.60"
S3Z58870,130127,,"Forms, Printed, Carbonless Paper, Sch 91",20121001,20150930,SSE,VANGUARD DIRECT,SS&E,565068.78,36,"$82,337.50"
T3Z58310,130149,,"AIR FILTERS FOR HVAC EQUIPMENT, SCH. 2014",20121001,20150930,SSE,ENVIRONMENTAL CONSTRUCTION SERVICES INC,SS&E,30001,31,"$18,899.85"
S3YQ0550,130170,,Bird Control Services,20121001,20150930,SSE,BIRD CONTROL SERVICES,SS&E,60001,36,$699.00
S3YN268S,130173,,MAINTENANCE/REPAIR OF BREATHING COMPRESSORS,20121001,20150930,SSE,COMPRESSED AIR SYSTEMS INC,SS&E,630382.5,36,"$9,873.09"
S2Z57590,120185,,"Forms, Printed Flat  Sch 93",20120101,20150930,SSE,VANGUARD DIRECT,SS&E,2875000,33,"$166,977.85"
S2Z57860,120206,,Instrumentation Parts Sch 2008-01,20120101,20150930,SSE,PDIR INC,SS&E,182001,33,"$233,514.11"
